排名,排名变化,全名_中文,全名_英文,年龄,出生地_中文,出生地_英文,性别,照片,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,组织结构,财富值_人民币_亿,财富值变化,财富值_美元,年份
1,4,张一鸣,Zhang Yiming,41,中国-福建-龙岩,China-Fujian-Longyan,先生,https://res.hurun.net/photo/000022_Zhang_Yiming.jpg,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,未知,3500.0,43%,49300.0,2024
2,-1,钟睒睒,Zhong Shanshan,70,中国-浙江-绍兴,,先生,https://res.hurun.net/photo/005216_Zhong_Shanshan.jpg,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",未知,3400.0,-24%,47900.0,2024
3,-1,马化腾,Ma Huateng,53,中国-海南,China-Hainan,先生,https://res.hurun.net/photo/000002_Ma_Huateng.jpg,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,未知,3150.0,13%,44400.0,2024
4,-1,黄峥,Huang Zheng,44,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.net/photo/000007_Huang_Zheng.jpg,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,未知,2450.0,-9%,34500.0,2024
5,3,何享健,He Xiangjian,82,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.net/photo/000004_He_Xiangjian.jpg,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,家族,2350.0,18%,33100.0,2024
6,-2,曾毓群,Zeng Yuqun,56,中国-福建-宁德,China-Fujian-Ningde,先生,https://res.hurun.net/photo/000057_Zeng_Yuqun.jpg,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,未知,2000.0,-20%,28200.0,2024
6,0,丁磊,Ding Lei,53,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.net/photo/000008_Ding_Lei.jpg,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,未知,2000.0,-17%,28200.0,2024
6,1,李嘉诚,Li Ka-shing,96,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,父子,2000.0,-5%,28200.0,2024
9,2,李兆基,Lee Shau Kee,96,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.net/default/icon_men.jpg,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,家族,1750.0,9%,24600.0,2024
10,0,马云,Ma Yun,60,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.net/photo/000001_Ma_Yun.jpg,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",家族,1650.0,-3%,23200.0,2024
11,-2,李书福,Li Shufu,61,中国-浙江-台州,China-Zhejiang-Taizhou,先生,https://res.hurun.net/photo/000015_Li_Shufu.jpg,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing,家族,1450.0,-17%,20400.0,2024
11,1,严昊,Yan Hao,38,中国-江苏-淮安,China -Jiangsu - Huai’an,先生,https://res.hurun.net/photo/000010_Yan_Hao.jpg,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads,未知,1450.0,-3%,20400.0,2024
11,5,张刚,Zhang Gang,43,中国-山东-聊城,China -Shandong - Liaocheng,先生,https://res.hurun.net/default/icon_men.jpg,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum,家族,1450.0,7%,20400.0,2024
14,0,李蔡美灵,Lee Choi Mei Ling,未知,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing,家族,1400.0,0%,19700.0,2024
14,0,吕向阳,Lyu Xiangyang,61,中国-安徽-芜湖,China -Anhui - Wuhu,先生,https://res.hurun.net/default/icon_men.jpg,融捷,Youngy,广东广州,Guangdong,投资,Investments,夫妇,1400.0,0%,19700.0,2024
16,-3,秦英林,Qin Yinglin,59,中国-河南-南阳,China - Henan - Nanyang,先生,https://res.hurun.net/photo/000016_Qin_Yinglin.jpg,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming,夫妇,1350.0,-7%,19000.0,2024
16,0,王传福,Wang Chuanfu,58,中国-安徽-芜湖,China -Anhui - Wuhu,先生,https://res.hurun.net/photo/000097_Wang_Chuanfu.jpg,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",未知,1350.0,0%,19000.0,2024
16,81,赵长鹏,Zhao Changpeng,47,中国-江苏-连云港,China-Jiangsu-Lianyungang,先生,https://res.hurun.net/default/icon_men.jpg,币安,Binance,美国,USA,虚拟货币交易所,Blockchain,未知,1350.0,200%,19000.0,2024
19,15,雷军,Lei Jun,55,中国-湖北-仙桃,China -Hubei - Fairy Peach,先生,https://res.hurun.net/photo/000029_Lei_Jun.jpg,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments",未知,1300.0,38%,18300.0,2024
20,0,陈建华,Chen Jianhua,53,中国-江苏-苏州,China-Jiangsu-Suzhou,先生,https://res.hurun.net/photo/000013_Chen_Jianhua.jpg,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",夫妇,1250.0,0%,17600.0,2024
20,6,张志东,Zhang Zhidong,52,中国-广东-东莞,China-Guangdong-Dongguan,先生,https://res.hurun.net/photo/000014_Zhang_Zhidong.jpg,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,未知,1250.0,14%,17600.0,2024
22,-4,刘永行,Liu Yongxing,76,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.net/photo/000030_Liu_Yongxing.jpg,东方希望,East Hope,上海浦东,Shanghai,氧化铝、重化工、饲料,"Aluminium, Feed",父子,1200.0,-8%,16900.0,2024
23,-3,王卫,Wang Wei,54,中国-上海,China-Shanghai,先生,https://res.hurun.net/photo/000012_Wang_Wei.jpg,顺丰,SF,广东深圳,Guangdong,快递,Express Delivery,未知,1100.0,-12%,15500.0,2024
23,1,魏建军,Wei Jianjun,60,中国-河北-保定,China-Hebei-Baoding,先生,https://res.hurun.net/photo/000088_Wei_Jianjun.jpg,长城,Great Wall Motor,河北保定,Hebei,汽车制造,Automobile,夫妇,1100.0,-8%,15500.0,2024
23,15,郑淑良,Zheng Shuliang,78,中国-山东,China-Shandong,先生,https://res.hurun.net/default/icon_men.jpg,魏桥创业,Weiqiao Pioneering,山东滨州,Shandong,铝业、纺织,"Aluminum, Textiles",家族,1100.0,31%,15500.0,2024
26,1,李西廷,Li Xiting,73,中国-安徽-宿州,China-Anhui-Ceju,先生,https://res.hurun.net/photo/000040_Li_Xiting.jpg,迈瑞,Mindray,广东深圳,Guangdong,医疗器械,Pharmaceuticals,未知,1000.0,0%,14100.0,2024
27,4,党彦宝,Dang Yanbao,51,,,先生,https://res.hurun.net/default/icon_men.jpg,宝丰,Baofeng Energy,宁夏银川,Ningxia,煤化工,Coal Chemical,未知,950.0,0%,13400.0,2024
27,0,徐航,Xu Hang,62,中国-广东-广州,China-Guangdong-guangzhou,先生,https://res.hurun.net/photo/000032_Xu_Hang.jpg,迈瑞、鹏瑞,"Mindray, Parkland",广东深圳,Guangdong,医疗器械、房地产,"Health Tech, Real Estate",未知,950.0,-5%,13400.0,2024
27,-9,郑家纯,Henry Cheng Kar-shun,76,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,周大福,Chow Tai Fook,香港,Hong Kong,珠宝,Jewellery,家族,950.0,-27%,13400.0,2024
30,36,郭台铭,Terry Guo Tai-Ming,74,中国-台湾-新北,China-Taiwan-New North,先生,https://res.hurun.net/default/icon_men.jpg,鸿海,Hon Hai,台湾台北,Taiwan,电子制造,Manufacturing,未知,930.0,55%,13100.0,2024
30,-3,吴光正,Peter Woo Kwong-ching,78,中国-上海,China-Shanghai,先生,https://res.hurun.net/default/icon_men.jpg,会德丰,Wheelock,香港,Hong Kong,房地产,Estate Holding,家族,930.0,-7%,13100.0,2024
32,3,刘銮雄,Joseph Lau Luen Hung,73,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,华人置业,Chinese Estates,香港,Hong Kong,房地产,Estate Holding,家族,910.0,-1%,12800.0,2024
33,-8,黄世霖,Huang Shilin,57,中国-福建-宁德,China-Fujian-Ningde,先生,https://res.hurun.net/default/icon_men.jpg,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,未知,890.0,-23%,12500.0,2024
34,-14,王兴,Wang Xing,45,中国-福建-龙岩,China-Fujian-Longyan,先生,https://res.hurun.net/photo/000068_Wang_Xing.jpg,美团,Meituan,北京,Beijing,生活服务,Life Service,未知,885.0,-29%,12500.0,2024
35,5,庞康,Pang Kang,68,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.net/photo/000023_Pang_Kang.jpg,海天味业,Haitian,广东佛山,Guangdong,调味品,Food Flavorings,未知,870.0,9%,12300.0,2024
36,4,杜纪川,John Tu,83,中国-重庆,China-Chongqing,先生,https://res.hurun.net/default/icon_men.jpg,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,未知,850.0,6%,12000.0,2024
36,4,孙大卫,David Sun,73,中国-台湾-台北,China-Taiwan-Taipei,先生,https://res.hurun.net/default/icon_men.jpg,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors,未知,850.0,6%,12000.0,2024
38,-2,林立,Lin Li,61,中国-广东-河源,China-Guangdong-Heyuan,先生,https://res.hurun.net/photo/000020_Lin_Li.jpg,立业,Liye,广东深圳,Guangdong,投资,Investments,未知,810.0,-10%,11400.0,2024
38,-7,宗馥莉,Zong Fuli,未知,,,女士,https://res.hurun.net/default/icon_women.jpg,娃哈哈,Wahaha,浙江杭州,Zhejiang,饮料,Drinks,未知,810.0,-15%,11400.0,2024
40,-20,吕志和,Lui Che Woo,95,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,银河,Galaxy Entertainment,香港,Hong Kong,博彩,Gaming,家族,800.0,-36%,11300.0,2024
40,-13,严彬,Yan Bin,70,中国-河南-新乡,China -Henan-New Township,先生,https://res.hurun.net/default/icon_men.jpg,华彬,Reignwood,北京,Beijing,饮料、地产,Food & Beverages,未知,800.0,-20%,11300.0,2024
42,69,钟慧娟,Zhong Huijuan,63,,,女士,https://res.hurun.net/photo/001821_Zhong_Huijuan.jpg,翰森,Hansoh,江苏连云港,Jiangsu,医药,Pharmaceuticals,未知,770.0,83%,10800.0,2024
43,1,李泽楷,Richard Li Tzar Kai,58,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,电讯盈科,PCCW,香港,Hong Kong,电信,Telecommunications,未知,750.0,-3%,10600.0,2024
44,11,蔡浩宇,Cai Haoyu,37,中国-山东-济南,China-Shandong-Jinan,先生,https://res.hurun.net/default/icon_men.jpg,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,未知,730.0,9%,10300.0,2024
45,26,张聪渊,Zhang Congyuan,76,中国-台湾-桃园,China-Taiwan-Taoyuan,先生,https://res.hurun.net/default/icon_men.jpg,华利实业,Huali Industrial,广东中山,Guangdong,鞋业,Footwear,家族,720.0,24%,10100.0,2024
46,-15,刘汉元,Liu Hanyuan,60,中国-四川-眉山,China - Sichuan-Meishan,先生,https://res.hurun.net/default/icon_men.jpg,通威,Tongwei,四川成都,Sichuan,新能源、农业,"New Energy, Agriculture",夫妇,700.0,-26%,9860.0,2024
47,12,林百里,Barry Lin Bai-Li,75,中国-上海,China-Shanghai,先生,https://res.hurun.net/default/icon_men.jpg,广达电脑,Quanta Computer,台湾桃园,Taiwan,消费电子产品,Consumer and Industry Electronics,家族,695.0,10%,9790.0,2024
48,-11,刘永好,Liu Yonghao,73,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.net/photo/000026_Liu_Yonghao.jpg,新希望,New Hope,四川成都,Sichuan,农业、化工、金融,"Agriculture, Finance",家族,690.0,-20%,9720.0,2024
49,37,蔡崇信,Joseph Tsai Chung-Hsin,60,中国-台湾,China-Taiwan,先生,https://res.hurun.net/default/icon_men.jpg,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",未知,680.0,42%,9580.0,2024
50,0,陈东升,Chen Dongsheng,67,中国-湖北-荆门,China -Hubei - Jingmen,先生,https://res.hurun.net/photo/000048_Chen_Dongsheng.jpg,泰康,Taikang,北京,Beijing,保险,Insurance,家族,670.0,-4%,9440.0,2024
50,94,项光达,Xiang Guangda,66,中国-浙江-温州,China-Zhejiang-Wenzhou,先生,https://res.hurun.net/default/icon_men.jpg,青山控股,Tsingshan,浙江温州,Zhejiang,钢铁,Steel,未知,670.0,97%,9440.0,2024
50,9,于泳,Yu Yong,未知,,,先生,https://res.hurun.net/default/icon_men.jpg,鸿商产业,Cathay Fortune,上海浦东,Shanghai,钼矿,Molybdenum Minerals,未知,670.0,6%,9440.0,2024
50,35,张国华,Chang Kuo-Hua,69,中国-台湾-台北,China-Taiwan,先生,https://res.hurun.net/default/icon_men.jpg,长荣集团,Evergreen,台湾台北,Taiwan,物流、钢铁,"Logistics,Iron",家族,670.0,38%,9440.0,2024
54,-8,邝肖卿,Kwong Siu Hing,95,中国-香港,China-Hong Kong,女士,https://res.hurun.net/default/icon_women.jpg,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,未知,665.0,-8%,9370.0,2024
55,9,孙飘扬,Sun Piaoyang,66,中国-江苏-镇江,China-Jiangsu-Jiang,先生,https://res.hurun.net/photo/000005_Sun_Piaoyang.jpg,恒瑞,Hengrui,江苏连云港,Jiangsu,医药,Pharmaceuticals,未知,650.0,7%,9150.0,2024
56,36,周群飞,Zhou Qunfei,54,中国-湖南-湘潭,China-Hunan-Xiangtan,女士,https://res.hurun.net/photo/000085_Zhou_Qunfei.jpg,蓝思科技,Lens,湖南长沙,Hunan,电子器件制造,Manufacturing,夫妇,635.0,40%,8940.0,2024
57,19,王来胜,Wang Laisheng,60,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.net/default/icon_men.jpg,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,父女,630.0,17%,8870.0,2024
57,9,徐浩宇,Xu Haoyu,52,中国-江苏-泰州,China-Jiangsu-Taizhou,先生,https://res.hurun.net/default/icon_men.jpg,扬子江药业,Yangtze River Pharmacy,江苏泰州,Jiangsu,医药,Pharmaceuticals,家族,630.0,5%,8870.0,2024
59,18,王来春,Wang Laichun,57,中国-广东-汕头,China-Guangdong-Shantou,女士,https://res.hurun.net/default/icon_women.jpg,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics,未知,620.0,17%,8730.0,2024
59,-1,朱保国,Zhu Baoguo,62,中国-河南-新乡,China - Henan - Xinxiang,先生,https://res.hurun.net/photo/000058_Zhu_Baoguo.jpg,健康元,Joint Care,广东深圳,Guangdong,医药,Pharmaceuticals,家族,620.0,-3%,8730.0,2024
61,-14,龚虹嘉,Gong Hongjia,59,,,先生,https://res.hurun.net/photo/000034_Gong_Hongjia.jpg,海康威视,Hikvision,浙江杭州,Zhejiang,视频监控产品,Video Surveillance Products,夫妇,615.0,-13%,8660.0,2024
62,17,岑均达,Cen Junda,未知,,,先生,https://res.hurun.net/default/icon_men.jpg,恒瑞、翰森,"Hengrui, Hansoh",江苏连云港,Jiangsu,医药,Pharmaceuticals,未知,610.0,22%,8590.0,2024
63,-16,梁稳根,Liang Wengen,68,中国-湖南-娄底,China-Hunan-Yandi,先生,https://res.hurun.net/photo/000082_Liang_Wengen.jpg,三一,Sany,北京,Beijing,重型机械,Heavy Machinery,父子,600.0,-15%,8450.0,2024
63,12,王玉锁,Wang Yusuo,60,中国-河北-廊坊,China-Hebei-Langfang,先生,https://res.hurun.net/photo/000037_Wang_Yusuo.jpg,新奥,ENN,河北廊坊,Hebei,天然气、能源化工,"Gas, Energy",夫妇,600.0,9%,8450.0,2024
65,12,陈天桥,Chen Tianqiao,51,中国-浙江-绍兴,China-Zhejiang-Shaoxing,先生,https://res.hurun.net/photo/000065_Chen_Tianqiao.jpg,盛大,Shanda,上海浦东,Shanghai,投资,Investments,夫妇,590.0,11%,8310.0,2024
65,-18,汪俊林,Wang Junlin,62,中国-四川-眉山,China - Sichuan - Meishan,先生,https://res.hurun.net/default/icon_men.jpg,郎酒,Langjiu,四川成都,Sichuan,白酒,Liquor,未知,590.0,-17%,8310.0,2024
67,6,杜双华,Du Shuanghua,59,中国-河北-衡水,China-Hebei-Hengshui,先生,https://res.hurun.net/default/icon_men.jpg,日照钢铁,Rizhao Iron and Steel,山东日照,Shandong,钢铁,Steel,未知,575.0,1%,8100.0,2024
68,3,陈丽华,Chen Lihua,83,中国-北京,China-Beijing,女士,https://res.hurun.net/default/icon_women.jpg,富华,Fu Wah,北京,Beijing,房地产、紫檀博物馆,"Real Estate, Red Sandalwood Museum",未知,550.0,-5%,7750.0,2024
68,-15,李水荣,Li Shuirong,68,中国-浙江,China-Zhejiang,先生,https://res.hurun.net/photo/000073_Li_Shuirong.jpg,荣盛控股,RongSheng,浙江杭州,Zhejiang,化纤,Chemical Fibres,未知,550.0,-19%,7750.0,2024
70,-25,张勇,Zhang Yong,53,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.net/photo/000011_Zhang_Yong.jpg,海底捞,HaiDiLao,北京,Beijing,餐饮,Restaurants,夫妇,540.0,-28%,7610.0,2024
71,-32,李彦宏,Li Yanhong,56,中国-山西-阳泉,China -Shanxi - Yangquan,先生,https://res.hurun.net/photo/000035_Li_Yanhong.jpg,百度,Baidu,北京,Beijing,网络信息服务,Internet Information Services,夫妇,525.0,-36%,7390.0,2024
72,14,曹仁贤,Cao Renxian,56,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.net/default/icon_men.jpg,阳光电源,Sungrow Power Supply,安徽合肥,Anhui,光伏设备,Electric Equipment and Machinery,夫妇,520.0,8%,7320.0,2024
72,-6,刘强东,Liu Qiangdong,50,中国-江苏-宿迁,China-Jiangsu-Cebu,先生,https://res.hurun.net/photo/000028_Liu_Qiangdong.jpg,京东,JD,北京,Beijing,电子商务、金融,"E-Commerce, Financial Services",夫妇,520.0,-13%,7320.0,2024
74,34,林木勤,Lin Muqin,60,中国-广东-深圳,China-Guangdong-Shenzhen,先生,https://res.hurun.net/default/icon_men.jpg,东鹏饮料,Eastroc Beverage,广东深圳,Guangdong,食品饮料,Food & Beverages,父子,510.0,17%,7180.0,2024
74,114,朱义,Zhu Yi,61,,,先生,https://res.hurun.net/default/icon_men.jpg,百利天恒,Biokin Pharmaceutical,四川成都,Sichuan,医药,Pharmaceuticals,未知,510.0,89%,7180.0,2024
76,-12,汪立平,Wang Liping,58,中国-江苏-无锡,China-Jiangsu-Wuxi,先生,https://res.hurun.net/default/icon_men.jpg,恒立液压,Hengli Hydraulic,江苏常州,Jiangsu,高压油缸,Oil Cylinder,家族,500.0,-18%,7040.0,2024
76,3,许仰天,Xu Yangtian,40,山东-淄博,China-Shandong,先生,https://res.hurun.net/default/icon_men.jpg,希音,Shein,广东广州,Guangdong,电商,E-Commerce,未知,500.0,0%,7040.0,2024
76,13,严昕,Yan Xin,41,中国-江苏-淮安,China-Jiangsu-Huai'an,女士,https://res.hurun.net/default/icon_women.jpg,苏商,Susun,上海,Shanghai,基础设施建设,Roads,未知,500.0,6%,7040.0,2024
79,61,林斌,Lin Bin,56,,,先生,https://res.hurun.net/photo/000143_Lin_Bin.jpg,小米,Xiaomi,北京,Beijing,智能硬件与技术,IoT,未知,490.0,42%,6900.0,2024
79,-13,罗立国,Luo Liguo,68,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.net/default/icon_men.jpg,合盛,Hoshine,浙江宁波,Zhejiang,硅材料,Silicon,家族,490.0,-18%,6900.0,2024
79,-22,吴亚军,Wu Yajun,60,中国-重庆,China-Chongqing,女士,https://res.hurun.net/photo/000024_Wu_Yajun.jpg,龙湖,Longfor,北京,Beijing,房地产,Real Estate,家族,490.0,-26%,6900.0,2024
82,-19,裴振华,Pei Zhenhua,未知,,,先生,https://res.hurun.net/default/icon_men.jpg,天华超净,Canmax,江苏苏州,Jiangsu,超净产品,Industrial Products,夫妇,480.0,-23%,6760.0,2024
82,9,许世辉,Xu Shihui,67,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.net/photo/000043_Xu_Shihui.jpg,达利食品,Dali Foods,福建泉州,Fujian,食品,Food,家族,480.0,4%,6760.0,2024
84,56,蔡明兴,Richard Tsai Ming-Hsing,67,中国-台湾,China-Taiwan,先生,https://res.hurun.net/default/icon_men.jpg,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,家族,460.0,33%,6480.0,2024
84,-44,陈邦,Chen Bang,59,中国-湖南-长沙,China-Hunan-Changsha,先生,https://res.hurun.net/photo/000047_Chen_Bang.jpg,爱尔眼科,Aier Ophthalmology,湖南长沙,Hunan,医疗服务,Medical Services,未知,460.0,-43%,6480.0,2024
86,-2,黄楚龙,Huang Chulong,65,中国-广东-揭阳,China-Guangdong-Jieyang,先生,https://res.hurun.net/photo/000102_Huang_Chulong.jpg,星河,Galaxy,广东深圳,Guangdong,房地产、投资,"Real Estate, Investments",家族,450.0,-8%,6340.0,2024
86,-31,李华,Li Hua,58,中国-四川,China - Sichuan,先生,https://res.hurun.net/default/icon_men.jpg,卓越,Excellence,广东深圳,Guangdong,房地产,Real Estate,未知,450.0,-33%,6340.0,2024
88,67,蔡明忠,Daniel Tsai Ming-Chung,68,中国-台湾,China-Taiwan,先生,https://res.hurun.net/default/icon_men.jpg,富邦,Fubon,台湾台北,Taiwan,金融服务,Financial Services,家族,440.0,38%,6200.0,2024
88,42,谢青,Ken Xie,未知,中国-北京,China-Beijing,先生,https://res.hurun.net/photo/003831_Ken_Xie.jpg,飞塔,Fortinet,美国旧金山,San Francisco,网路安全,Network Security,未知,440.0,24%,6200.0,2024
90,2,李天颖,Wendy Lee,未知,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding,家族,435.0,-4%,6130.0,2024
90,23,米高·嘉道理,Michael Kadoorie,83,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,中电,CLP,香港,Hong Kong,能源,Energy,家族,435.0,6%,6130.0,2024
92,5,陈贤哲,Chen Shyan Tser,71,中国-台湾,,先生,https://res.hurun.net/default/icon_men.jpg,北极星,Polaris,台湾台北,Taiwan,投资,Investments,家族,430.0,-4%,6060.0,2024
92,38,张虔生,Jason Chang CS,80,中国-台湾,China-Taiwan,先生,https://res.hurun.net/default/icon_men.jpg,日月光,ASE,台湾高雄,Taiwan,工业品、房地产,"Industrial Products, Real Estate",家族,430.0,21%,6060.0,2024
94,8,虞仁荣,Yu Renrong,58,,,先生,https://res.hurun.net/default/icon_men.jpg,韦尔股份,Will,上海浦东,Shanghai,半导体,Semiconductors,未知,425.0,-4%,5990.0,2024
95,55,蔡宏图,Tsai Hong-Tu,72,中国-台湾,China-Taiwan,先生,https://res.hurun.net/default/icon_men.jpg,霖园,Lin Yuan,台湾台北,Taiwan,金融服务,Financial Services,家族,420.0,29%,5920.0,2024
95,-9,杨惠妍,Yang Huiyan,43,中国-广东-佛山,China-Guangdong-Foshan,女士,https://res.hurun.net/photo/000006_Yang_Huiyan.jpg,碧桂园,Country Garden,广东佛山,Guangdong,投资、房地产、教育,"Investments, Real Estate, Education",家族,420.0,-13%,5920.0,2024
97,-38,沈国军,Shen Guojun,62,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.net/photo/000053_Shen_Guojun.jpg,银泰,Yintai,北京,Beijing,零售、房地产、物流,"Retail, Real Estate, Logistics",家族,415.0,-34%,5850.0,2024
97,26,宋建波,Song Jianbo,54,中国-山东-烟台,China-Shandong,先生,https://res.hurun.net/default/icon_men.jpg,南山,Nanshan,山东烟台,Shandong,铝业、纺织、房地产,"Aluminium, Apparel, Real Estate",家族,415.0,11%,5850.0,2024
99,66,霍斯特·帕德威尔,Horst Julius Pudwill,79,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,创科实业,TTI,香港,Hong Kong,消费品,Consumer Goods,家族,410.0,34%,5770.0,2024
99,6,鲁伟鼎,Lu Weiding,53,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.net/photo/000076_Lu_Weiding.jpg,万向,Wanxiang,浙江杭州,Zhejiang,汽车制造业、房地产、农业,"Car parts, real estate, agriculture",家族,410.0,-7%,5770.0,2024
99,-33,其实,Qi Shi,54,中国-上海,China-Shanghai,先生,https://res.hurun.net/default/icon_men.jpg,东方财富,Eastmoney,上海徐汇,Shanghai,信息服务,Data Services,家族,410.0,-32%,5770.0,2024
99,6,阮立平,Ruan Liping,60,,,先生,https://res.hurun.net/photo/004866_Ruan_Liping.jpg,公牛,Gong Niu Group,浙江宁波,Zhejiang,插座,Power Strip,未知,410.0,-7%,5770.0,2024
103,-44,方威,Fang Wei,51,中国-辽宁-沈阳,China-Liaoning-Shenyang,先生,https://res.hurun.net/default/icon_men.jpg,方大,Fangda,北京,Beijing,碳素、钢铁、煤焦,"Carbon, Steel, Coal",未知,405.0,-36%,5700.0,2024
103,-50,蒋仁生,Jiang Rensheng,71,中国-广西-桂林,China-Guangxi-Guilin,先生,https://res.hurun.net/photo/000050_Jiang_Rensheng.jpg,智飞生物,Zhifei,重庆,Chongqing,疫苗,Vaccines,家族,405.0,-40%,5700.0,2024
103,2,阮学平,Ruan Xueping,52,,,先生,https://res.hurun.net/default/icon_men.jpg,公牛,Gong Niu Group,浙江宁波,Zhejiang,插座,Power Strip,未知,405.0,-8%,5700.0,2024
103,-11,朱孟依,Zhu Mengyi,65,中国-广东-梅州,China-Guangdong-Meizhou,先生,https://res.hurun.net/default/icon_men.jpg,合生创展,Hopson,广东广州,Guangdong,房地产、投资,Real Estate,家族,405.0,-11%,5700.0,2024
107,2,蔡衍明,Tsai Eng-Meng,67,中国-台湾-台北,China-Taiwan-Taipei,先生,https://res.hurun.net/default/icon_men.jpg,旺旺,Want Want,台湾台北,Taiwan,食品和饮料,Food & Beverages,家族,400.0,-7%,5630.0,2024
107,-5,丁世忠,Ding Shizhong,54,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.net/photo/000081_Ding_Shizhong.jpg,安踏,Anta,福建厦门,Fujian,体育用品,Sportswear,未知,400.0,-10%,5630.0,2024
107,-28,赖海民,Lai Haimin,58,中国-广东-揭阳,China-Guangdong-Jieyang,先生,https://res.hurun.net/default/icon_men.jpg,鸿荣源,Horoy,广东深圳,Guangdong,房地产,Real Estate,未知,400.0,-20%,5630.0,2024
107,19,刘伟,Liu Wei,37,,,先生,https://res.hurun.net/default/icon_men.jpg,米哈游,Mihoyo,上海,Shanghai,游戏,Online games,未知,400.0,8%,5630.0,2024
107,11,苏海文,Helmut Sohmen,83,奥地利,Austria,先生,https://res.hurun.net/default/icon_men.jpg,BW,BW Group,香港,Hong Kong,物流,Logistics,家族,400.0,4%,5630.0,2024
112,201,王旭宁,Wang Xuning,55,中国-北京,China-Beijing,先生,https://res.hurun.net/default/icon_men.jpg,JS环球生活,JS Global Life,香港,Hong Kong,小家电,Household Appliances,未知,395.0,126%,5560.0,2024
